"","Target","Regulator"
"1","RARB","PPARG"
"2","SP1","MYB"
"3","ID2","HOXA9"
"4","DGKE","TP53"
"5","JUN","RARG"
"6","COL1A1","SMAD7"
"7","PICALM","YY1"
"8","IFI16","AR"
"9","TCF7","TCF7L2"
"10","CDH1","SMARCC1"
"11","AK3","E2F1"
"12","MTCH1","MYC"
"13","JUND","MEN1"
"14","TOPORS","TP53"
"15","CTNNB1","SMAD4"
"16","PLAT","AR"
"17","XBP1","BACH2"
"18","EPAS1","HIF3A"
"19","STAT5A","ESR1"
"20","TNF","ATF2"
"21","JUP","TFAP2A"
"22","MACROD1","SP1"
"23","HLA-DRA","CIITA"
"24","CD86","CREM"
"25","GSPT1","SP1"
"26","COL4A2","E2F4"
"27","GATA1","FLI1"
"28","LIF","EGR2"
"29","HHEX","PAX8"
"30","PCK2","RELA"
"31","HOOK2","HIF1A"
"32","CD8A","CREB1"
"33","BIRC5","E2F4"
"34","LEF1","LMO2"
"35","CCND1","CTNNB1"
"36","BIRC2","ETS1"
"37","ELK1","NR3C1"
"38","CYP27B1","CREB1"
"39","CREBL2","MYC"
"40","CTNNB1","RELA"
"41","BTN3A3","E2F1"
"42","FABP3","PPARA"
"43","ESR1","ESR1"
"44","MTHFR","MYC"
"45","THBS1","E2F1"
"46","NOS3","GATA2"
"47","PIK3C3","MYC"
"48","CDK4","USF1"
"49","VEGFA","ZFP36L1"
"50","ABCG1","E2F4"
"51","FCER1A","PPARG"
"52","RRAS2","BTN3A2"
"53","HBEGF","HIF1A"
"54","CDH1","WT1"
"55","SMAD7","SMAD3"
"56","RB1","E2F1"
"57","LONP1","STAT1"
"58","TBP","CREB1"
"59","TP53RK","ARNT"
"60","TAP1","NFKB1"
"61","RAD51AP1","MEN1"
"62","PKM","MYC"
"63","GALK2","E2F1"
"64","MYC","WDR5"
"65","TYMS","SP1"
"66","SPRING1","TP53"
"67","MAPK1","RARG"
"68","APEX1","TFAP2A"
"69","CDK5R1","MYC"
"70","CLCN7","MITF"
"71","PTEN","EZH2"
"72","BIRC3","DEK"
"73","SLC25A14","E2F4"
"74","VDR","MBD4"
"75","MCL1","MYC"
"76","FDPS","SREBF2"
"77","ITGA6","POU5F1"
"78","FGF1","ETS2"
"79","TFAP2A","POU2F1"
"80","ABCC6","PLAGL1"
"81","PPP1R3E","E2F2"
"82","TGFB3","MYC"
"83","IL10","IRF1"
"84","BCAS3","GATA3"
"85","TNC","ETS1"
"86","COL3A1","SMAD7"
"87","PDGFB","FOXO1"
"88","TRIM16","ESR1"
"89","SFXN3","MYC"
"90","ERG","FLI1"
"91","LRP1","PPARG"
"92","JUN","GLI2"
"93","IFNLR1","STAT1"
"94","SMTN","RBPJ"
"95","CSF1","TP53"
"96","DLL4","HIF1A"
"97","ATP9A","GLI2"
"98","USP7","SP1"
"99","VAV3","GLI2"
"100","ACTA2","TP53"
"101","NFE2L1","NFKB1"
"102","TCF4","RUNX3"
"103","GSK3A","CREB1"
"104","PA2G4","MYB"
"105","HPSE","NFKB1"
"106","LCP1","ETS1"
"107","F3","CEBPB"
"108","MAD2L1","E2F4"
"109","EPRS1","MYC"
"110","ANOS1","TFAP2A"
"111","UPP1","RELA"
"112","ELF3","KDM5B"
"113","STK39","NFKB1"
"114","SETDB1","ERG"
"115","MYC","MAX"
"116","ETS2","SP3"
"117","NFKB1","ELF1"
"118","MSLN","TCF7"
"119","PLK4","E2F2"
"120","DHRS2","MYB"
"121","WAS","SP1"
"122","PCK2","FOXO1"
"123","PTGS1","KLF10"
"124","XK","MYC"
"125","DNAAF4","PARP1"
"126","ALB","NFIA"
"127","RPS6","E2F4"
"128","CCNA2","ZHX2"
"129","MAP3K14","E2F1"
"130","LIPA","PPARG"
"131","KHSRP","RARG"
"132","TP73","E2F1"
"133","CD83","RELA"
"134","E2F1","IRF1"
"135","MYB","JUND"
"136","ID4","SP3"
"137","CX3CL1","E2F1"
"138","NUP188","USF1"
"139","CYP3A4","DBP"
"140","IPO7","TP53"
"141","FGL2","ETS1"
"142","MYC","E2F1"
"143","PLAUR","FOS"
"144","RUNX2","TRPS1"
"145","LIPE","SP3"
"146","APPBP2","AR"
"147","THBD","RXRA"
"148","PLRG1","CDC5L"
"149","HEXA","TFAP2A"
"150","JUN","AR"
"151","PTPN6","USF1"
"152","B4GALT5","USF1"
"153","CDKN1A","LCOR"
"154","THBD","RARB"
"155","EBI3","ETS1"
"156","CD8A","ATF1"
"157","CDKN1B","KLF4"
"158","RELA","FHL2"
"159","HMGCR","SREBF2"
"160","AR","NSD2"
