"","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"TP53",-2.019429089,-2.539960105,0.850046452,0.466451824,2.056861322,3.700255095,0.23901391,1.265248968,-2.426148641,-1.964118969,0.810418944,0.880706676,2.670264455,-0.844591299,-0.095930884,-0.593953268,-1.015614164,-1.14074346,-1.363223038,-0.41963567,1.866674095,-0.617237139
"YY1",0.165896978,0.35615036,0.345512907,0.181031504,0.957895855,-0.103018101,0.153606596,-0.115195435,0.311894806,0.281302901,-0.243817825,-0.007114925,-0.20953919,0.006915515,0.458794095,-0.000588562,-0.292724974,0.307054276,0.182634628,-0.484905169,-0.406950258,-0.437355334
"SMARCC1",0.490232799,0.161534128,0.570167259,1.263541254,1.768765825,-0.184922083,0.137405598,0.171176131,0.53233022,-0.279613099,-0.801170722,0.506865207,-0.501429107,-0.710402624,-0.82256497,0.655381737,-0.326427594,0.615272932,1.861292056,-0.695569056,1.335044167,-0.269627571
"MEN1",0.384071609,0.429467943,0.069629383,0.498160293,0.682600062,-0.308593043,-0.059372762,0.03403348,0.102473315,-0.121751617,-0.106297178,0.407759345,0.148918472,-0.241819761,-0.231178264,-0.596471624,-0.027849495,0.55126036,0.498680908,0.203439139,0.063654258,-0.63963681
"SMAD4",0.130551593,0.150964687,0.082413902,0.35895337,0.197123113,0.661081448,0.007817767,0.049918495,0.004174056,0.2915536,-0.440381654,0.74474761,0.452483881,0.485496951,-0.482353516,-0.038895899,-0.066154818,0.251621273,0.94994022,-0.468290997,-0.585100686,-0.166840157
"ESR1",-0.364197381,0.500503614,-0.200028579,-1.92358574,-0.620223102,-0.722319066,-0.388672808,-0.409458797,-1.426984857,1.459626769,-1.691145864,0.342819565,0.519247034,1.932412252,-0.176682759,-0.726848632,-0.561011938,0.138647382,-0.505679978,1.176728572,-0.298797918,-0.969844242
"ATF2",-0.631606923,-0.316813073,0.562558342,0.738192205,0.826862666,0.173177647,0.589910983,0.174553246,0.804751136,1.288236296,-1.660074411,0.143750989,-0.085799323,-0.042292297,-0.439475188,1.002754776,-0.036764446,0.490693929,1.222548319,-1.500969662,-0.053319812,-0.087250357
"SP1",0.535472028,0.51918493,0.14068058,-0.049602034,0.546696276,-0.094472065,-0.021330413,-0.608123932,0.474287882,-0.368618475,-0.079389231,0.324603317,-0.188388567,-0.189671002,0.063177932,-0.28576446,-0.382258671,0.222206383,0.469657166,-0.190576728,-0.551084611,-0.912527954
"E2F4",-0.085401643,-0.735846789,0.01528139,0.137229428,-0.590219471,-0.643596478,-0.308656158,-0.283362037,-0.066299525,0.594327879,-0.794978488,0.485191685,-0.282357583,0.521641249,0.270695575,-0.058742419,0.597171521,-0.540664463,-0.106120531,0.273477617,0.063972401,-0.224089456
"FLI1",-1.250136099,-0.787968574,-1.084429791,-0.90531816,-1.188796744,-0.587932354,-0.139898602,-0.289203882,-1.381067851,-0.857566254,0.649346402,1.667122168,-1.255637391,-0.591244793,-0.284866546,0.394550354,0.590619968,-1.073830708,-0.642131456,0.109801349,-1.51823514,0.391696216
"PAX8",-0.629130775,1.239027647,1.435179346,1.264081765,1.80290047,-0.477723859,-0.951733768,-0.644189234,0.179164353,0.010945516,-0.924030477,0.449753006,-0.427476624,0.231011929,-0.364248844,1.320607339,-1.135347836,-0.114783658,-1.510720828,-0.915415726,-0.055264536,-0.655838872
"RELA",0.051140636,0.101247199,-0.04274258,-0.220500548,-0.661507873,0.25266018,-0.15386251,0.186686956,-0.06139959,0.21125582,0.409479116,0.013575021,0.336592561,0.065863157,0.294479152,0.20623997,-0.11796387,0.279212956,0.050295056,0.432544999,0.589545298,0.143235269
