"","Target","Regulator"
"1","DGKE","TP53"
"2","PICALM","YY1"
"3","CDH1","SMARCC1"
"4","JUND","MEN1"
"5","TOPORS","TP53"
"6","CTNNB1","SMAD4"
"7","STAT5A","ESR1"
"8","TNF","ATF2"
"9","MACROD1","SP1"
"10","GSPT1","SP1"
"11","COL4A2","E2F4"
"12","GATA1","FLI1"
"13","HHEX","PAX8"
"14","PCK2","RELA"
"15","CD8A","CREB1"
"16","BIRC5","E2F4"
"17","CCND1","CTNNB1"
"18","ELK1","NR3C1"
"19","CYP27B1","CREB1"
"20","CTNNB1","RELA"
"21","ESR1","ESR1"
"22","CDK4","USF1"
"23","VEGFA","ZFP36L1"
"24","ABCG1","E2F4"
"25","RRAS2","BTN3A2"
"26","CDH1","WT1"
"27","SMAD7","SMAD3"
"28","LONP1","STAT1"
"29","TBP","CREB1"
"30","TP53RK","ARNT"
"31","TAP1","NFKB1"
"32","RAD51AP1","MEN1"
"33","MYC","WDR5"
"34","TYMS","SP1"
"35","SPRING1","TP53"
"36","PTEN","EZH2"
"37","BIRC3","DEK"
"38","SLC25A14","E2F4"
"39","TFAP2A","POU2F1"
"40","PDGFB","FOXO1"
"41","TRIM16","ESR1"
"42","ERG","FLI1"
"43","IFNLR1","STAT1"
"44","SMTN","RBPJ"
"45","CSF1","TP53"
"46","USP7","SP1"
"47","ACTA2","TP53"
"48","NFE2L1","NFKB1"
"49","GSK3A","CREB1"
"50","HPSE","NFKB1"
"51","F3","CEBPB"
"52","MAD2L1","E2F4"
"53","UPP1","RELA"
"54","ELF3","KDM5B"
"55","STK39","NFKB1"
"56","MYC","MAX"
"57","ETS2","SP3"
"58","NFKB1","ELF1"
"59","WAS","SP1"
"60","PCK2","FOXO1"
"61","DNAAF4","PARP1"
"62","ALB","NFIA"
"63","RPS6","E2F4"
"64","CCNA2","ZHX2"
"65","CD83","RELA"
"66","MYB","JUND"
"67","ID4","SP3"
"68","NUP188","USF1"
"69","IPO7","TP53"
"70","RUNX2","TRPS1"
"71","LIPE","SP3"
"72","THBD","RXRA"
"73","PLRG1","CDC5L"
"74","PTPN6","USF1"
"75","B4GALT5","USF1"
"76","CD8A","ATF1"
"77","RELA","FHL2"
"78","AR","USF2"
"79","POLB","SP1"
"80","FJX1","RBPJ"
"81","BIRC5","EHMT2"
"82","PIM1","STAT5A"
"83","ZNF217","MTA3"
"84","BRCA2","USF2"
"85","ABCC1","TP53"
"86","SKP2","YBX1"
"87","APC","CEBPZ"
"88","TMPO","E2F4"
"89","HFE","PARP1"
"90","JUP","SP1"
"91","TLR4","IRF8"
"92","S100A6","NFKB1"
"93","SFPQ","E2F4"
"94","CCR5","NFKB1"
"95","NBN","SIRT1"
"96","SRP68","YY1"
"97","MDM2","JUND"
"98","DCT","ESR1"
"99","SPI1","RUNX1"
"100","CCND1","CREB1"
"101","IFI16","STAT3"
"102","POU5F1","MBD2"
"103","EPHX1","SP1"
"104","SLPI","POU2F1"
"105","PTTG1","TP53"
"106","SMAD2","SP1"
"107","HDAC1","RFX1"
"108","IFIT3","STAT2"
"109","IL1B","TP53"
"110","PTPA","IKZF1"
"111","MLH1","DNMT1"
"112","TCN2","SP3"
"113","VIPR1","ATF1"
"114","HNRNPD","E2F4"
"115","IL10","IRF8"
"116","ACTR5","YY1"
"117","SCARB1","STAT1"
"118","APEX1","SP1"
"119","BRCA1","CREB1"
"120","LIG1","TP53"
"121","CDKN1A","TFAP4"
"122","SNAI1","HMGA2"
"123","SETDB1","MBD1"
"124","HLA-DQA1","RFXANK"
"125","HLA-DOB","RFX1"
"126","ITGB1","SMAD3"
"127","DNMT3A","SP3"
"128","MMP2","RELA"
"129","PLA2G4A","NFKB1"
"130","CDKN1A","SMAD2"
"131","CCL2","STAT2"
"132","RGN","SP1"
"133","CCND2","NFYC"
"134","MRPS6","E2F4"
"135","MED21","NFIC"
"136","IFIT3","IRF9"
"137","DHCR24","SP1"
"138","FZR1","HMGA2"
"139","NFATC4","TP53"
"140","TNF","LRRFIP1"
"141","PMAIP1","TP53"
"142","SATB1","FOXO3"
"143","ABCC1","SP1"
"144","MC1R","USF1"
"145","PTGS2","TP53"
"146","ZMYM2","SMAD3"
"147","ID3","SMAD5"
"148","IL1B","SIRT1"
"149","THOC1","RELA"
"150","FRMD5","TP53"
"151","PRAM1","HDAC3"
"152","EGLN3","STAT6"
"153","POLA2","NFIC"
"154","MYC","MTA3"
"155","CCL2","HDAC2"
"156","AR","YBX1"
"157","CASP6","TP53"
"158","CD5","SP1"
"159","FDFT1","E2F4"
"160","RUNX1","TLE3"
"161","EIF2AK1","HDAC1"
"162","NCBP1","UPF1"
"163","FECH","YY1"
"164","HMOX1","FLI1"
"165","MYL6","DNMT1"
"166","MYC","NFKB1"
"167","PTAFR","NFKB1"
"168","SLTM","TP53"
"169","PTTG1","SP1"
"170","GRIP1","PML"
"171","FOS","NFIC"
"172","NFKB1","TRIM22"
"173","BCL2L11","RELA"
"174","IL1B","SP1"
"175","IL32","DNMT1"
"176","FASN","NFYA"
"177","KLKB1","RUNX1"
"178","TBP","GTF2A1"
"179","JUN","STAT3"
"180","PDGFC","SMAD1"
"181","EGR2","SCD5"
"182","REL","E2F4"
"183","GRHL2","ZEB1"
"184","IRAG1","BTN3A3"
"185","NF1","IRF8"
"186","XAF1","STAT1"
"187","BRCA1","ATF1"
"188","TPH1","NFYB"
"189","PTPN13","TP53"
"190","HMGCS1","HDAC1"
"191","PTTG1IP","STAT5A"
"192","MAP3K7","E2F4"
"193","E2F7","TP53"
"194","HYOU1","FOXO1"
"195","FOS","HMGN1"
"196","EPHB2","BTN3A2"
"197","CDKN1A","NCOA1"
"198","SMC4","E2F4"
"199","NOL3","ESR1"
"200","PTGS2","SP1"
"201","CDKN1A","TP53"
"202","ST3GAL5","CREB1"
"203","NAT1","HSF1"
"204","TYMS","USF2"
"205","FOXM1","FLI1"
"206","NDUFS8","YY1"
"207","BCL6","JUND"
"208","NCAM1","RELA"
"209","STAT2","STAT1"
"210","CDH1","ZEB1"
"211","NPR2","SP3"
"212","NCOA2","ESR1"
"213","PBX1","CEBPB"
"214","EPB41L4B","TP53"
"215","BAX","WWTR1"
"216","CD40","RELB"
"217","E2F3","TP53"
"218","PRDX4","FOXO1"
"219","BCL2L11","FOXO1"
"220","HSPA5","NFYA"
"221","SLTM","SP1"
"222","TNFRSF11B","ESR1"
"223","CTSL","SP1"
"224","PSMB10","NFKB1"
"225","LCAT","STAT3"
"226","CCND1","FOXO3"
"227","MLH1","TP53"
"228","RHOB","HDAC1"
"229","MYC","HOXB4"
"230","E2F2","E2F4"
"231","CLDN4","STAT2"
"232","PTMA","ESR1"
"233","CXCR4","USF2"
"234","CYP3A4","RELA"
"235","ATF5","NPM1"
"236","VIM","CTNNB1"
"237","CARM1","TP53"
"238","CD14","SP3"
"239","KCNQ3","SP1"
"240","ABCB1","MECP2"
"241","SFN","TP53"
"242","BRCA1","CREBBP"
"243","EBNA1BP2","RB1"
"244","NR2F6","CREB1"
"245","IL6ST","STAT3"
"246","CDKN1A","SIRT1"
"247","MYC","SRSF1"
"248","NFKB1","PIR"
"249","SCN9A","USF1"
"250","ABCG2","NFKB1"
"251","CDKN1B","ING4"
"252","UGCG","SP1"
"253","JUN","WT1"
"254","FOS","NFYB"
"255","RRAS2","BTF3"
"256","HIC1","TP53"
"257","RUNX1T1","SMAD4"
"258","CYP2F1","SP3"
"259","POR","SMAD4"
"260","CSRP1","STAT3"
"261","FHL2","RUNX1"
"262","EXOSC9","E2F4"
"263","AHR","SMAD4"
"264","A2M","NFKB1"
"265","RELB","ARNT"
"266","PINK1","RELA"
"267","NCOR1","NFKB1"
"268","TFAP2A","NFIC"
"269","PCDHA7","TP53"
"270","CDKN1A","SP1"
"271","CDKN1A","ELL"
"272","PLXNA1","WT1"
"273","IL5RA","CREB1"
"274","SMAD3","TP53"
"275","ST3GAL5","ATF1"
"276","PCK2","CREB1"
"277","B2M","NFKB1"
"278","F3","NFIC"
"279","ERBB2","XRCC5"
"280","CDK2","TP53"
"281","ABCB1","TP53"
"282","ADGRB2","TP53"
"283","CEACAM1","RELA"
"284","CYP3A5","YY1"
"285","CD86","ESR1"
"286","TRAF1","NFKBIA"
"287","MET","STAT5A"
"288","EIF4G2","POU2F1"
"289","EDN2","TP53"
"290","KCNH2","SP1"
"291","AR","SMAD3"
"292","PTGS2","HDAC1"
"293","HIC1","SIRT1"
"294","TYMS","YBX1"
"295","LIPE","NFKB1"
