"","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"RBM5",0.373743538,0.733421407,-0.445818042,0.437460955,0.939760602,-0.101900965,-0.030194667,-0.146141168,0.048751302,0.644188708,-0.563153098,0.438062584,-0.302886986,-0.271186021,-0.752131818,0.138486431,-0.234134361,0.330399429,0.372955861,0.203910485,-0.068099856,-0.271545104
"RBM6",0.785466886,0.474781285,-0.303630268,0.900612852,1.199420259,0.041136833,0.667847626,-0.136160962,0.185079941,0.415347862,-0.626700346,0.313274328,-0.231759795,-0.186309945,-0.198478182,0.805095485,0.042695569,-0.000206431,0.597819576,-0.035521199,0.169622945,0.057356709
"CSDE1",-0.022368816,0.979680608,0.395319824,0.116618463,0.630390603,0.485173286,-0.483485483,0.281893054,0.340756855,0.028057964,-0.202248662,0.028403547,0.383438792,0.212900051,0.390736073,0.51723283,0.016788363,-0.282278524,0.764224175,0.191318221,1.009161886,-0.225226928
"PTBP1",0.292246847,0.144768751,0.099758167,-0.031398977,0.529785062,0.269627708,-0.187756186,-0.33130452,0.229150462,0.753819783,-0.362282437,0.222514461,-0.311778998,-0.039199014,-0.059752352,0.058891618,-0.504856735,-0.012082771,0.311012251,0.419456752,0.07079625,-0.448253268
"MATR3",0.485930261,0.313694926,0.233675971,0.676244455,1.116593446,-0.154451332,0.364136856,0.255760331,0.271589317,0.565420237,-0.536873886,0.258642182,-0.265042085,-0.199465621,0.079050624,-0.168278204,-0.186412836,-0.059636022,0.811959151,0.007675317,-0.028945208,-0.307401622
"YTHDC2",0.47968424,-0.137617298,-0.839109303,-0.16823904,-0.433652261,-0.596813609,-0.668879099,0.096140593,-0.16771916,0.003232054,0.22128184,0.545828204,-0.128107026,0.31932407,0.240126315,-0.23318341,0.292352948,-0.894260313,-0.215396838,0.087247705,0.075114437,0.00588365
"PUM2",0.475138914,-0.110351635,0.697702999,1.014772132,0.746162013,-0.146540415,0.283840423,-0.091911757,-0.280809183,-0.380650989,-0.198428329,-0.012130166,-0.416479295,0.29316271,-0.032979999,0.034718688,-0.605349672,-0.053713921,0.553159262,-0.491391206,0.733764016,-0.508667841
"ZC3H11A",-0.313564921,0.219918012,0.456432687,0.892512429,0.571333519,-0.261564559,9.96e-05,-0.064032699,0.26319935,0.695312909,-0.471861335,0.527363178,-0.303448122,0.118766392,-0.147565595,0.16506509,-0.385331716,0.830992574,0.757637296,-0.210695089,0.149547873,-0.47811983
"PARP12",-0.12148998,0.08568621,-0.263385574,-0.611685285,-0.28640338,-0.123275125,-0.863102782,0.626180765,0.202365647,-0.229448794,0.050034119,0.055941196,-0.011113538,-0.154513924,-0.469418311,0.030159921,-0.533614633,0.232402556,-0.892318545,0.293645189,0.472554045,0.031313543
"EIF4B",1.054166429,0.695923538,0.642929546,0.908685323,0.954250886,0.768355481,0.811074822,0.244589775,0.329682299,0.310008289,-1.131792838,0.025596076,-0.074485864,-0.253383451,-0.555147335,0.024553805,-0.108275204,0.602175035,0.812536864,-0.198137416,0.12491139,-0.126844087
