"","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"RBM5",7.75096428344176,7.83027426309868,7.00698481989059,8.31307744661392,8.51354516916743,7.91866445566612,7.87102304494719,7.33961576692705,7.65522310555573,8.35517615752891,7.26672984466113,8.95798127667211,7.51830195016517,7.14621094180044,7.15955950549197,8.05132606883676,8.12461157575025,7.73551757837163,7.35903577656099,7.74155362306655,7.17611712185664,8.07702893083886
"RBM6",7.03752631145528,7.03635161668339,6.53859996305652,7.16891396263557,7.57820416252031,8.76904842692215,8.14929761427364,7.17797451124562,6.67006102750353,7.71719706472627,6.98186814398789,7.82495284234847,7.7056245463979,7.45139085922545,6.39211290283046,7.40809015983677,6.98289845067859,8.14680209814221,7.26973135324477,6.93089531887596,6.83629186571581,7.82937369354926
"REXO5",4.0396072910207,3.53811753351498,4.21597102535218,4.40131070591387,4.49264220845991,4.39498798874341,4.61119226809554,4.05342398822162,4.53968739653454,3.41242831076676,3.14374413761978,3.72125963139218,2.92900016235699,4.32165801391693,3.84589930767864,4.12348316099791,3.92499867377669,4.07312294025717,4.66917070885134,4.75359598631572,5.01594420306313,3.92897090746287
"YBX2",3.53714584163299,2.13180439228327,3.47604155026121,3.31374232278823,5.32195826442584,6.86113124773859,4.47636476198939,2.99440391333452,3.93791327980932,1.76903466593411,3.47701731502692,5.25076077070099,2.90568035417154,1.39119789721268,2.3441102183675,3.59446234997325,3.88726672097689,4.94288480348758,3.92459821036423,4.18836796699002,3.7862540393507,-1.1185250786157
"CSDE1",8.77627180470348,9.16811666433802,9.18333206777031,8.94327492621691,9.43013296276519,8.86783187096668,8.50092883031381,8.99431225238841,8.70875942504485,8.83367506169807,9.13482348688384,8.79089533335711,8.63139158822748,9.17950322341624,8.8208787976354,8.90335471072915,8.95206926151886,8.79829753759725,9.06175007185362,8.61303102362914,9.27213214477037,9.06175007185362
"PTBP1",9.77535267805432,9.21061608791551,9.40998601474766,9.52136044324622,9.24700135895813,9.76039083219304,8.85453902621206,9.3662899485691,10.0064453413349,9.28497517638253,9.06845200991209,9.31570096162292,8.91175857192317,9.62321405902558,9.00051609732437,9.40998601474766,9.51572221580348,9.35219871577163,9.77535267805432,10.2638870993265,10.3034649315902,9.34292974282682
"ZC3H3",4.48850243741698,4.82453372363713,3.6640113735009,4.24984195786347,2.72300450929668,3.82207251787943,2.19540103452904,4.68191087268469,4.34965085818694,3.82288237267122,5.14257175361675,3.30945176244896,3.74634627959091,3.9559078121052,4.52117730703112,3.96701155636026,3.86458726573369,4.88675309168637,4.37345156046199,3.99476484168722,3.53054632689491,3.2807097301991
"MATR3",8.35671391674008,8.11853156084178,7.73637792248505,8.47097599520258,8.22851530647315,8.79335594489407,8.74538111701204,8.26008350987984,8.02259224832086,8.2503694399859,7.776879248947,8.22851530647315,8.35210793740257,8.33993112384285,7.98530932178806,7.78400913232426,8.17331434866135,7.83301501851604,8.04028816556311,7.78847932090174,7.98945222682634,8.10767694759918
"SAMD4A",2.86602040933453,4.24213891439781,3.57101563538033,2.53655402097092,3.7572398413431,4.16974234496341,4.07045597444818,2.78515149528215,2.57992042274132,3.80897590344151,4.751659011292,3.25566796754038,4.12645258996617,3.34335173323549,4.09033334761721,3.53998735393916,4.14958948884644,4.15111217841034,2.31022957212547,2.80396344136072,2.42065623814761,4.36526641393779
"YTHDC2",7.10726435675583,6.54933696825168,5.39461189666651,6.00115865913965,6.77482317157303,6.13993249422464,6.66878568814562,6.14059109978467,5.9381889876468,6.95941379508384,6.08377314275483,7.28924502503006,6.23733931173881,7.11307979162859,6.52491129041917,6.28247700379742,6.5429090674673,5.44653532941412,5.93691140974516,6.30549555641708,6.09216537634214,6.77299011678973
