"Rownames","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"FETUB",2.79507291696369,2.50919350294082,2.23191534861215,1.30397372660724,3.34542722814777,3.04323249915017,1.79903126359134,2.12819249457375,1.63642656689131,-2.66292921730505,0.924219187314189,-1.50828079805309,-1.283293932688,-0.476448696777767,3.22943981993053,-0.440512596179961,-1.283293932688,0.515122310560846,-0.843075347779384,-0.14729438330621,-0.513858679094194,-2.15615958114994
"KRT18P11",3.51592984454428,2.87424369119233,3.20892400252796,5.6500869842463,4.09731865280301,3.47406122872202,4.75846700306722,4.6769138391617,3.35977462077296,0.951078105659858,1.69104315392701,2.89327925775041,1.54598365246045,1.89770084387538,2.2406916053398,1.72601985374647,3.44201323371525,3.03680069010795,2.03800800063491,1.8355936535968,2.33579587844048,1.04586882484262
"ANXA2R-OT1",-1.283293932688,-1.33081442093857,-0.644468562908341,-0.621085514630594,-0.83566613611834,-1.48972271660889,-0.569253143232383,-2.20165596620407,-0.70640866103398,1.76451792468481,-0.187772376156199,0.472327869423196,0.539071260811696,0.250568693904096,-0.55751101108353,0.651262040982967,-0.471542282851917,-0.0981699296262795,0.915379829612352,-0.552060291553486,0.985395968200096,1.28162789447689
"S100A5",2.39657441398987,3.54373497963357,3.46491347108976,3.27705985712363,5.60667036945566,5.19378282347144,3.80344997205683,4.44402451356223,3.86249874511326,1.62601594358381,-0.524487784013768,2.60735560522771,1.2521253063858,2.49417490729203,-0.270905316035998,1.65491348762892,2.65813439590442,2.85846662389783,1.27550983424852,3.06061879943324,2.36345555263232,2.13365472564311
"STAG3",7.15129093732224,4.86895741013771,5.80430126926701,6.3963518465913,7.33276514931109,7.29964455239872,6.19497891378478,6.1582653367496,6.52725212060688,5.21737972793853,4.6941002406325,5.37215913526462,4.02143808956669,4.86928076920875,3.99237467108907,5.60191402444827,5.01089689399969,4.86531411372309,5.55967076892795,5.51349277920291,5.80944048113367,4.41093324258605
"KIF9",5.89095764964255,4.84761517116182,4.40919212685936,5.80260932067961,6.07242719574518,5.75764380793174,5.29909281376169,5.21360526129082,5.18544523618205,3.94597001958494,3.61249505262564,4.37703037340025,4.32639057814806,3.19702615226396,3.0379927187857,4.78600804365985,4.26061208447227,4.58715985293105,4.12795388948173,4.5613464962104,5.19438065522373,3.17285598980622
"TGFB1",2.28517890721391,3.17617590756096,2.65207074340719,1.90294956057608,1.51958623466425,1.08597810159583,0.657437396569373,2.42313179118459,2.04531654632777,4.25986893408775,4.61490691611634,2.52619506019643,3.95462024061195,3.06659909328332,5.54033885761322,3.67208738943143,3.69049444494681,3.0552810713251,2.98891945572478,3.2184871024669,2.55488565184153,4.31704811710086
"DNAI7",3.14429687919712,3.08880375547944,4.74693816475423,5.17185789260919,5.36434384727763,4.3848184290211,5.20938877157077,3.33516926835876,3.39929243933973,2.76466950189111,2.62278975876964,2.32024804439853,2.45475233476724,2.80018814395332,1.57721515358886,3.40435408258838,3.79497265500919,2.64643023963099,1.98047336639627,2.89700326258466,2.9307175782274,0.859960894152981
"LRIG1",6.80126383148125,7.66247277860046,6.37496645460607,7.94753442023083,8.42032592009072,6.69932110875093,7.13547467451597,7.97337173446276,7.62088069049258,5.31165446124476,5.16934746416737,6.94065436245153,6.60815703177894,4.91619884829668,5.36104123506099,5.95276211172927,6.8708856787567,4.73699080816271,4.93458092794187,6.70361788921353,7.06446368108262,5.14134945949689
"DIPK1A",3.10885519562937,3.11753731241864,3.69475642363918,2.76402391236749,2.04806821103229,2.37455194253651,1.83454579279082,2.94721358633107,2.70870245056186,4.23290218883952,3.71624009543437,3.02066491000975,4.35551857256181,3.79750028840102,3.93140414911133,4.643301324323,3.9931865204061,3.53667185519772,3.39606213128112,3.38251751387452,3.23005616689777,4.3873377564578
"FBXO21",8.05024529269804,8.4902481194693,6.99937308442499,8.51354516916743,7.50067644719587,7.47063679643357,7.17056854419087,8.85453902621206,8.80326655488481,6.16841255593685,6.35231389275666,6.16171801127782,6.65432587352281,5.72204051291251,6.27037055730782,7.05812858743854,7.65291901781387,7.74400937844182,7.46645174867543,6.74112875164771,6.49328222257986,5.57324959384474
"TEDDM1",3.04949775087545,2.43609295665846,2.21272969935307,4.28216263379894,3.38701730384424,3.30333044508791,3.39309657948615,2.05179971720178,2.2031966796933,1.90496215677241,1.52358566384063,2.05362943835035,-0.0908152852229103,1.36307216260782,-0.48746828243934,0.462685674271781,1.2414895381827,1.81271265695712,2.90262767001794,1.56054558407475,0.103757200123519,-1.283293932688
"ABHD15",3.3677661654277,3.88204493049347,3.61336596629935,2.24600158601214,2.28265040969692,1.39119789721268,2.01543912456565,2.62414176560056,3.7221807370893,4.56698634199359,4.11659471420335,4.11386455367965,3.73360610584697,3.91167049232628,4.55897915454391,4.52738553322121,3.46002730028821,3.920330429242,3.66265281504614,3.45708119805913,4.25806581678089,4.22235652646104
"EIF5A2",4.85642994010196,4.65074384394818,4.65238068931046,3.13430836057137,4.3451171354191,2.77191652595607,4.0765545356168,4.43101390009169,4.44817318284524,5.34288378759765,4.73199507266149,5.42031535802843,5.87059555484456,4.66668885707716,5.26298244867085,5.97052979838406,6.70059781964156,4.70646518786417,5.27013214773078,5.90755264509973,4.84730134020887,6.20434224060651
