	R0.1.1	R0.2.1	R0.3.1	R0.5.1	R0.6.1	R0.7.1	R0.8.1	R0.9.1	R0.10.1	PR.2.1	PR.3.1	PR.4.1	PR.5.1	PR.7.1	PR.8.1	PR.9.1	PR.10.1	ER.1.1	ER.5.1	ER.6.1	ER.7.1	ER.10.1
PPARG	3.31106102739167	3.34335173323549	2.22028177664359	2.65957512466011	2.38646091388809	2.64232461508949	2.75019514507856	3.49865261829989	2.67381797771793	4.70880086855997	3.58330599399293	4.08801398668137	4.45088696441342	2.44236600879669	2.39914131014034	2.64643023963099	1.86422658962542	1.23552229714101	2.71000280216365	2.68345969419783	1.5388198476404	5.29065953869642
MYB	5.28878971624085	4.10269717477963	5.0934401982605	4.92944519779364	6.34305221400543	5.06237631644551	5.39228415846387	3.28785962721042	4.49922538770107	4.64198447463514	2.89070932893545	5.5828601646224	5.64507824407091	4.79319888812439	3.32397430995235	5.25421671230278	3.82207251787943	5.51539661126241	6.38644977485484	5.57584782317333	5.60605978701264	3.50728068657099
HOXA9	0.0263346925897201	0.387707764047321	-1.20211697784041	-1.04318933682149	4.5634179046512	3.66492295426691	3.37083908204059	2.76862711681994	2.39286480092008	2.76335002444869	0.543353715817176	3.51022929136747	2.65813439590442	1.36435720642031	5.71889133080644	4.82004187407097	3.06942007237609	3.97785639350389	2.28594641555589	3.95629638612081	1.87331231324611	1.45738311520058
TP53	3.5497750559692	5.23249724421069	6.18226551201084	6.731999336903	6.1918392352736	7.53338196643297	6.243386771967	4.93581813044293	4.81050590849023	6.25243988927279	6.95751012126441	6.27735659607995	6.31508455227113	5.66905424685628	5.62383928387959	5.74215659257027	5.38188380514554	5.08262317272294	6.07688917449741	5.00230914681979	6.56824162112701	6.21462744965006
RARG	6.73505342845576	5.73219815320781	6.56581846070628	6.77877984646344	5.76225270364989	6.47034242121339	7.10614104619649	5.24257718694228	5.59287630490657	6.08863768568864	5.37463017251261	6.5871065079662	5.8500433517997	5.81718619935952	4.78377948843689	5.85300835911384	5.86505674949086	6.53742022440533	2.86852150624253	6.28515881639555	6.16383745831438	5.54033885761322
SMAD7	4.33480548678102	4.98560725291334	4.83420086972456	5.1022474565848	5.07094247735955	3.63077446594295	4.4912863549322	5.41462555483343	5.03908699971333	4.61015325924766	5.07473036915591	4.59126714765553	5.04707211572886	4.01212732903426	4.5858390199924	4.93902609711592	5.60348092493184	4.60509995432325	5.56911040954708	3.36127824228481	4.85578586444346	4.45455642421897
YY1	6.20365678633506	6.51531287274472	6.9458915110164	5.93321766546886	6.91526950787074	6.57030165699523	6.55889978468776	6.83629186571581	7.04567574193653	5.84739782381755	6.67586367482402	6.02986763428222	6.23626235982194	6.22466566795096	6.66074185592455	6.80083315573241	6.97007700114689	7.08916591280775	6.19988423794879	7.13769613735232	6.62227710031092	5.70547075377314
AR	4.28428113543833	4.31565022892244	4.89094726961597	4.56004029221175	3.89049326695394	3.77199881897294	4.67658786963099	3.46536401547197	3.73048776318232	2.70935502046044	0.616541982985704	4.18495282225941	5.27105736036973	4.13396306666399	2.97679957374557	3.15774812897124	4.0816846592304	5.98575592312967	2.51883545676553	4.05384025924174	5.40961430888878	3.23757421203111
TCF7L2	6.72213158040536	6.33856992822226	5.66650044339061	7.2426995613109	5.83648810721138	6.51367900286944	6.87993758315442	6.01548742085749	6.13095274868197	5.86994706534995	5.58504494399369	6.72131679305458	6.0976456528867	7.8058629964971	5.64186315294681	5.60441646404996	5.76160818115645	4.98976479205183	6.46533747593563	6.484575371073	5.74059114217218	5.76322351682926
SMARCC1	9.13120152963359	8.50092883031381	7.68411932323403	9.40008456217109	9.11331395501459	9.86245479801522	8.60298693196391	8.57349455319905	8.56004661542063	7.83211625702948	8.49201983485475	8.54491227289934	8.15556318168708	8.06987994235053	7.84893556916598	8.53186856005419	8.47619310110555	9.00363453129205	9.02898915479378	7.84149679187803	9.3806130542404	7.91094864432337
E2F1	4.9288199088659	5.14417111963645	4.42931922519281	4.85863847045686	5.25952791237188	5.3393918846951	5.98542384073108	5.45913739674526	5.03463323500366	2.58665617459305	3.94437575904863	4.38697580726476	3.96545357315193	5.55904332636083	4.46653881325776	5.8840635971407	5.17469183415913	5.96884686395271	6.78144841144321	6.03379215226686	5.43928257907701	3.35827307580185
MYC	11.2108937634309	8.83625649145497	7.84893556916598	8.78599428406693	7.79574930861211	7.78307282696144	7.54091052406129	8.90057106311217	8.74538111701204	8.497355092654	8.87320519179747	8.21776482138846	7.83973020810555	8.63139158822748	8.1913812113743	8.70651905408082	7.73637792248505	9.23878322415795	7.10780326159788	9.21857123235476	9.02577945255528	8.69539947823148
MEN1	6.76755405628396	6.52571977430533	6.714995152188	6.64798884064548	5.4990861021929	6.76266927702218	6.49561707798	6.58622784924307	6.37753741448726	6.89047231280398	6.92412483317422	7.16447878163545	6.98786300540002	7.24094757321951	6.21209932573338	6.55090948711394	6.30654900046771	6.51569920431372	6.83629186571581	7.15236921721994	7.26487124480989	6.74370435303608
SMAD4	5.41493388921364	5.73441916350767	5.41282816088604	6.00083031422383	5.24953836450014	5.48205055619158	5.11202983152546	5.30475296183885	5.27615275839802	5.46922383800612	5.5486215331028	5.48205055619158	5.04069186296193	5.80561208146963	5.00613411322397	5.40402385267424	5.73055689299179	6.02413510635084	6.38800965523109	5.4770399118344	5.27805636906972	5.40433304933842
BACH2	2.79372253982637	3.66089805845805	3.02180897458042	3.87348312585701	3.2146613951808	1.74029073763124	4.0616241759014	2.73511659724895	2.03283416522464	5.32827596522435	2.74367185097799	4.45191893172868	4.07429564170662	1.7527013583038	2.69639102574679	4.07312294025717	4.79414062312648	4.97595541976335	3.47653305663949	3.5385857749699	2.69513084346791	4.39570237344525
HIF3A	5.64570515540434	4.94352034377061	7.10842664723562	6.72298404573822	4.73965592591292	5.74950219506055	6.75730213299102	3.23914685161586	3.93417213900067	1.89272887249846	2.83306024327462	6.24235782327041	3.36233772982168	0.778895590107093	4.52047017351242	2.48435931292764	5.45067067502007	5.89352600058624	7.23262741163628	2.74873974069098	5.5726139562309	2.63119206599266
ESR1	7.15903252241271	5.83849994280604	6.08762426548274	3.05010924987817	5.40207020224603	7.22236738221999	5.33814531837229	5.66905424685628	4.95316107163539	4.48719290897762	6.3667201277376	7.33588513882161	6.23232163334807	7.91679567843481	3.31937830013741	6.93135641826318	4.24392532899654	7.29833361508373	5.82463653909958	8.04590169894839	6.7106479785876	2.92718056171061
ATF2	5.25360422833179	6.08377314275483	6.06155145892225	6.31899333196521	6.2947082476951	5.93524489664922	6.49796982541184	6.36824229729678	5.97052979838406	5.80395689582372	6.52650014608775	6.06462129299132	6.25708940450696	6.21814422085088	6.14337560394654	5.86771422547207	5.99987599207723	6.28694883100584	6.01788774557941	5.6155650402451	5.69788235645275	6.24374130855538
TFAP2A	6.5889313220386	6.0441658921701	1.9602613188005	3.02066491000975	6.50071801648797	4.7633794706586	6.47753620874065	7.60663388040819	7.48009912310317	2.98205164076125	4.576216165669	4.99682479263891	5.14582047071928	8.4902481194693	6.05025168351742	4.99972572799587	3.52062177686878	5.44779771848602	7.14244854825166	5.34097836546436	7.30407179842811	2.42143594366943
SP1	9.07860221477527	8.87320519179747	8.61505306292909	8.92594494498356	9.12759455212463	8.94619663658847	8.41051133028044	8.35979677658541	9.02577945255528	8.77627180470348	8.53372081564492	8.86783187096668	8.37379251926904	8.30428764751387	8.52633373788991	8.91175857192317	8.88678255203214	8.85453902621206	9.07182233609888	9.37103818128315	8.82853451309248	8.58910658050411
CIITA	6.68758532998175	5.22141367985057	4.59564980771302	2.58946907234805	5.51916544394433	7.22105266612608	3.22621743796348	6.28846708550703	5.44302631759647	7.48850373762251	5.28381466230304	6.86345164992065	5.49030727886561	6.5132734625293	4.88482867744734	6.1001425809905	4.69086917264508	4.63043319620599	2.78710872045694	7.45202757303716	4.81312954622925	6.40831413813912
CREM	4.31271802138019	5.37308737762658	4.47778956980754	3.84025696380615	4.9566960430212	4.28934000220027	4.37947238331659	4.15644472138748	4.13359864066278	4.4116130500715	5.54609280106285	3.54282061742081	3.98032155914367	3.36982275354713	4.09579732361098	3.69262463314829	3.49684343655162	3.98905274641987	4.07975486396706	3.52062177686878	4.26569864256752	3.93501213524721
E2F4	6.43849553628589	5.86540814001217	6.11894554152106	6.46884197616314	5.07440495218252	5.31849746653072	5.08294608686923	6.02783784223822	6.87713734111749	6.08130818402053	5.30859125929335	5.65936444906919	5.76066220243273	6.01347502410655	6.03054900414664	6.42511107532014	6.42390712119661	5.88634654127941	6.58502420330494	6.90703489462382	6.72730381419647	6.13302853513073
FLI1	4.44335544595084	4.9220272736017	4.72463304966334	2.57780882122888	3.98032155914367	4.74064304886014	3.70914185051346	4.7376691469256	5.026114411343	7.34392328653823	5.35787448895738	5.44519838431468	5.64570515540434	5.71919759919864	5.31976257128419	6.06323424722357	5.07440495218252	3.37994513859384	3.48136476935318	5.27013214773078	4.22124570094436	6.66923594655366
EGR2	5.76479077166815	3.69878839981115	6.59019154467782	2.88950743048368	2.99010459523726	1.35221968856275	4.29782623789696	3.96309443171147	3.9559078121052	5.79424004640129	4.25986893408775	4.55476546003834	4.23962273410388	3.17340977486971	2.33097129200103	3.81715073129833	2.99983766421707	2.70050589135694	2.20146380268494	2.69706118753837	2.68279832229686	3.73759262551317
PAX8	6.55688089330891	7.82135084400468	7.52494047600871	7.8987388409271	7.13661839620551	7.21829354043709	5.69692891763995	6.64505366065842	6.95697114007825	4.9586687439652	6.96961063901014	7.6096361676095	6.68375673613666	7.37607340920207	7.44799836194696	7.6020181547512	7.61850080869765	7.07021770573541	2.06390829404324	7.41612942340996	7.45544291833016	4.91585650469169
