	Target	Regulator
1	CCND1	P35222_S191_1_1_YES_Single
2	VEGFA	Q07352_S92_1_1_NO_Single
3	LONP1	P42224_S727_1_1_YES_Single
4	IFNLR1	P42224_S727_1_1_YES_Single
5	ELF3	Q9UGL1_S1456_1_1_NO_Single
6	ALB	Q12857_S280_1_1_YES_Single
7	MYB	P17535_S100_1_1_NO_Multiple
8	SKP2	P67809_S165_1_1_NO_Single
9	MDM2	P17535_S100_1_1_NO_Multiple
10	SCARB1	P42224_S727_1_1_YES_Single
11	MED21	P08651_S323_1_1_YES_Single
12	TNF	Q32MZ4_S120_1_1_NO_Single
13	POLA2	P08651_S323_1_1_YES_Single
14	AR	P67809_S165_1_1_NO_Single
15	EIF2AK1	Q13547_S393_1_1_YES_Single
16	GRIP1	P29590_S36_1_1_NO_Single
17	GRIP1	P29590_T867_1_1_NO_Single
18	GRIP1	P29590_S505_1_1_NO_Single
19	GRIP1	P29590_S403_1_1_NO_Single
20	FOS	P08651_S323_1_1_YES_Single
21	XAF1	P42224_S727_1_1_YES_Single
22	HMGCS1	Q13547_S393_1_1_YES_Single
23	FOS	P05114_S7_1_1_NO_Single
24	BCL6	P17535_S100_1_1_NO_Multiple
25	STAT2	P42224_S727_1_1_YES_Single
26	RHOB	Q13547_S393_1_1_YES_Single
27	ATF5	P06748_S70_1_1_YES_Single
28	VIM	P35222_S191_1_1_YES_Single
29	MYC	Q07955_S199;S201_2_2_NO_Single
30	MYC	Q07955_S199_1_1_NO_Single
31	TFAP2A	P08651_S323_1_1_YES_Single
32	F3	P08651_S323_1_1_YES_Single
33	PTGS2	Q13547_S393_1_1_YES_Single
34	TYMS	P67809_S165_1_1_NO_Single
35	HLA-E	P42224_S727_1_1_YES_Single
36	E2F1	Q96ST3_S1112_1_1_YES_Single
37	TIMP3	P42224_S727_1_1_YES_Single
38	DIMT1	P42224_S727_1_1_YES_Single
39	CXCR4	P67809_S165_1_1_NO_Single
40	SNF8	P49736_S139_1_1_NO_Single
41	SNF8	P49736_S41_1_1_NO_Single
42	SNF8	P49736_S27_1_1_NO_Single
43	CDKN1A	Q13547_S393_1_1_YES_Single
44	MEF2C	Q8WUI4_S155_1_1_NO_Single
45	FASN	P51858_S165_1_1_NO_Single
46	RPL3	P06748_S70_1_1_YES_Single
47	WFDC2	O00712_S264_1_1_NO_Single
48	TIMP1	P17535_S100_1_1_NO_Multiple
49	ABCB1	Q13547_S393_1_1_YES_Single
50	TNFRSF10A	Q13547_S393_1_1_YES_Single
51	CDKN1A	O00712_S264_1_1_NO_Single
52	VIM	P51858_S165_1_1_NO_Single
53	CSF1	P42224_S727_1_1_YES_Single
54	SLTM	P67809_S165_1_1_NO_Single
55	GOT1	P08651_S323_1_1_YES_Single
56	PCNA	Q13547_S393_1_1_YES_Single
57	PWP2	P42224_S727_1_1_YES_Single
58	PTGS2	P25054_S2449_1_1_NO_Single
59	IL1B	P42224_S727_1_1_YES_Single
60	FZR1	P51532_S1382_1_1_NO_Single
61	PTGS2	P42224_S727_1_1_YES_Single
62	PPIP5K2	P42224_S727_1_1_YES_Single
63	FOSL1	P38159_S208_1_1_NO_Multiple
64	FOSL1	P38159_S352_1_1_YES_Single
65	ABCB1	P67809_S165_1_1_NO_Single
66	CDKN2A	P51532_S1382_1_1_NO_Single
67	CTSL	P42224_S727_1_1_YES_Single
68	POLE2	P08651_S323_1_1_YES_Single
69	PML	P29590_S36_1_1_NO_Single
70	PML	P29590_T867_1_1_NO_Single
71	PML	P29590_S505_1_1_NO_Single
72	PML	P29590_S403_1_1_NO_Single
73	FOS	P38159_S208_1_1_NO_Multiple
74	FOS	P38159_S352_1_1_YES_Single
75	CDKN1A	P42224_S727_1_1_YES_Single
76	HLA-DRA	Q13547_S393_1_1_YES_Single
77	USP7	P06748_S70_1_1_YES_Single
78	IGFBP3	Q13547_S393_1_1_YES_Single
79	KLF4	Q13547_S393_1_1_YES_Single
80	EXOC3	P42224_S727_1_1_YES_Single
81	CDH1	P51858_S165_1_1_NO_Single
82	NOL3	P08651_S323_1_1_YES_Single
83	JUN	P35222_S191_1_1_YES_Single
84	CDKN1A	Q8WUI4_S155_1_1_NO_Single
85	ADH6	P08651_S323_1_1_YES_Single
86	ACP3	O75376_S1472_1_1_NO_Single
87	ACP3	O75376_S2120_1_1_NO_Single
88	UQCRQ	P42224_S727_1_1_YES_Single
89	CDKN1B	Q03164_S2098_1_1_NO_Single
90	SPP1	Q13547_S393_1_1_YES_Single
91	HOXA5	Q03164_S2098_1_1_NO_Single
92	CCNC	P67809_S165_1_1_NO_Single
93	CASP3	P29590_S36_1_1_NO_Single
94	CASP3	P29590_T867_1_1_NO_Single
95	CASP3	P29590_S505_1_1_NO_Single
96	CASP3	P29590_S403_1_1_NO_Single
97	FOS	Q13547_S393_1_1_YES_Single
98	HK1	O75376_S1472_1_1_NO_Single
99	HK1	O75376_S2120_1_1_NO_Single
100	HIF1A	Q8WUI4_S155_1_1_NO_Single
101	HOXA9	Q03164_S2098_1_1_NO_Single
102	FST	Q9UGL1_S1456_1_1_NO_Single
103	MVP	P42224_S727_1_1_YES_Single
104	RNF8	Q14839_S1308_1_1_NO_Single
105	RNF8	Q14839_S1535_1_1_YES_Single
106	CHGA	P35222_S191_1_1_YES_Single
107	F8	P25054_S2449_1_1_NO_Single
108	CDKN1A	P06748_S70_1_1_YES_Single
109	CDKN1A	Q12857_S280_1_1_YES_Single
110	IRF8	P42224_S727_1_1_YES_Single
111	APOA2	P08651_S323_1_1_YES_Single
112	MICB	Q13547_S393_1_1_YES_Single
113	MAT2A	P42224_S727_1_1_YES_Single
114	KLF4	P25054_S2449_1_1_NO_Single
115	SPATA2	P08651_S323_1_1_YES_Single
116	FST	P35222_S191_1_1_YES_Single
117	AR	O75376_S1472_1_1_NO_Single
118	AR	O75376_S2120_1_1_NO_Single
119	CTSB	P42224_S727_1_1_YES_Single
120	RB1	P35222_S191_1_1_YES_Single
121	CLP1	P85037_S445_1_1_NO_Single
122	NOS3	Q13547_S393_1_1_YES_Single
123	OAT	P08651_S323_1_1_YES_Single
124	GAD1	Q13547_S393_1_1_YES_Single
125	MYC	P35222_S191_1_1_YES_Single
126	RECK	Q13547_S393_1_1_YES_Single
127	FOS	P42224_S727_1_1_YES_Single
128	PPARA	P42224_S727_1_1_YES_Single
129	EGFR	P29590_S36_1_1_NO_Single
130	EGFR	P29590_T867_1_1_NO_Single
131	EGFR	P29590_S505_1_1_NO_Single
132	EGFR	P29590_S403_1_1_NO_Single
133	DDT	O75376_S1472_1_1_NO_Single
134	DDT	O75376_S2120_1_1_NO_Single
135	ESR1	Q13547_S393_1_1_YES_Single
136	CD44	P51532_S1382_1_1_NO_Single
137	DHCR24	O75376_S1472_1_1_NO_Single
138	DHCR24	O75376_S2120_1_1_NO_Single
139	IRF7	P42224_S727_1_1_YES_Single
140	IGF1	Q9Y618_S1487_1_1_NO_Single
141	IGF1	Q9Y618_S1982_1_1_NO_Single
142	IGF1	Q9Y618_S1259_1_1_NO_Single
143	CLDN7	Q13547_S393_1_1_YES_Single
144	PHB1	Q13547_S393_1_1_YES_Single
145	DNAAF4	P78347_S103_1_1_YES_Single
146	DNAAF4	P78347_S674_1_1_NO_Single
147	ATP1A1	P08651_S323_1_1_YES_Single
148	UBA7	P29590_S36_1_1_NO_Single
149	UBA7	P29590_T867_1_1_NO_Single
150	UBA7	P29590_S505_1_1_NO_Single
151	UBA7	P29590_S403_1_1_NO_Single
152	BAMBI	Q13547_S393_1_1_YES_Single
153	STAT3	Q13547_S393_1_1_YES_Single
154	ODC1	P25054_S2449_1_1_NO_Single
155	EPCAM	Q13547_S393_1_1_YES_Single
156	FGF9	Q96I24_T76_1_1_NO_Single
157	ITGA9	O00470_S196_1_1_NO_Single
158	SNAI2	Q13547_S393_1_1_YES_Single
159	POLR2K	P85037_S445_1_1_NO_Single
160	CCND1	P17535_S100_1_1_NO_Multiple
161	TLR3	P42224_S727_1_1_YES_Single
162	KIF23	P39880_S1496_1_1_NO_Single
163	MECOM	P51532_S1382_1_1_NO_Single
164	PTPN6	P06748_S70_1_1_YES_Single
165	SOS1	P08651_S323_1_1_YES_Single
166	SIRT1	P78347_S103_1_1_YES_Single
167	SIRT1	P78347_S674_1_1_NO_Single
168	MYC	Q96AE4_S99_1_1_YES_Single
169	CDKN1A	O15062_S371_1_1_NO_Single
170	RUNX1	Q02880_T1292_1_1_NO_Single
171	RUNX1	Q02880_S1375_1_1_NO_Single
172	RUNX1	Q02880_S1613_1_1_YES_Single
173	RUNX1	Q02880_S1550;S1552_2_2_NO_Single
174	RUNX1	Q02880_S1466_1_1_NO_Single
175	RUNX1	Q02880_S1550_1_1_NO_Single
176	APP	P42224_S727_1_1_YES_Single
177	EGFR	Q32MZ4_S120_1_1_NO_Single
178	CASP4	P42224_S727_1_1_YES_Single
179	ESR1	Q8WUI4_S155_1_1_NO_Single
180	LY96	P42224_S727_1_1_YES_Single
181	BIRC3	Q13547_S393_1_1_YES_Single
182	STAT3	P42224_S727_1_1_YES_Single
183	CCND1	P51532_S1382_1_1_NO_Single
184	CALD1	P51532_S1382_1_1_NO_Single
185	INSR	P08651_S323_1_1_YES_Single
186	GATA3	P42224_S727_1_1_YES_Single
187	PLD1	P35222_S191_1_1_YES_Single
188	MATN1	P08651_S323_1_1_YES_Single
189	RPL22	P85037_S445_1_1_NO_Single
190	CCND1	P29590_S36_1_1_NO_Single
191	CCND1	P29590_T867_1_1_NO_Single
192	CCND1	P29590_S505_1_1_NO_Single
193	CCND1	P29590_S403_1_1_NO_Single
194	NOL3	P42224_S727_1_1_YES_Single
195	IGFBP3	O75376_S1472_1_1_NO_Single
196	IGFBP3	O75376_S2120_1_1_NO_Single
197	ERBB2	P17535_S100_1_1_NO_Multiple
198	PMEPA1	O75376_S1472_1_1_NO_Single
199	PMEPA1	O75376_S2120_1_1_NO_Single
200	TAF1A	P06748_S70_1_1_YES_Single
201	ITGAV	P17535_S100_1_1_NO_Multiple
202	NRCAM	P35222_S191_1_1_YES_Single
203	CD86	P42224_S727_1_1_YES_Single
204	DDB1	P08651_S323_1_1_YES_Single
205	GNRH1	P08651_S323_1_1_YES_Single
206	ESRP1	Q9UGL1_S1456_1_1_NO_Single
207	SMUG1	P08651_S323_1_1_YES_Single
208	SMARCB1	P42224_S727_1_1_YES_Single
209	XPA	Q92466_S26_1_1_NO_Single
210	KPNA2	P67809_S165_1_1_NO_Single
211	CDKN3	P67809_S165_1_1_NO_Single
212	ADA	P08651_S323_1_1_YES_Single
213	DNMT1	Q13547_S393_1_1_YES_Single
214	AKAP12	Q8WUI4_S155_1_1_NO_Single
215	NOCT	P17535_S100_1_1_NO_Multiple
216	MEIS1	Q03164_S2098_1_1_NO_Single
217	GCLC	P17535_S100_1_1_NO_Multiple
218	CLDN1	Q9UGL1_S1456_1_1_NO_Single
219	JAK2	P42224_S727_1_1_YES_Single
220	PLAT	P17535_S100_1_1_NO_Multiple
221	ETS1	P23497_S157_1_1_NO_Single
222	E2F3	Q13263_S473_1_1_YES_Single
223	CDH1	P51532_S1382_1_1_NO_Single
224	PFKFB3	P08651_S323_1_1_YES_Single
225	IRF3	P08651_S323_1_1_YES_Single
226	FTO	P39880_S1496_1_1_NO_Single
227	AR	O00470_S196_1_1_NO_Single
228	TFPI2	P08651_S323_1_1_YES_Single
229	COL1A1	P08651_S323_1_1_YES_Single
230	ICAM1	Q13547_S393_1_1_YES_Single
231	DNMT1	P25054_S2449_1_1_NO_Single
232	COL3A1	P08651_S323_1_1_YES_Single
233	SOD1	P08651_S323_1_1_YES_Single
234	IL1R1	P42224_S727_1_1_YES_Single
235	POU5F1	Q13547_S393_1_1_YES_Single
236	ESR1	O75376_S1472_1_1_NO_Single
237	ESR1	O75376_S2120_1_1_NO_Single
238	EDN1	P08651_S323_1_1_YES_Single
239	ELN	P08651_S323_1_1_YES_Single
240	RBP1	P08651_S323_1_1_YES_Single
241	VWF	P08651_S323_1_1_YES_Single
242	FZR1	Q13547_S393_1_1_YES_Single
243	CDKN2A	Q8TDY2_S222_1_1_NO_Single
244	RUNX3	Q13547_S393_1_1_YES_Single
245	COL1A2	Q13547_S393_1_1_YES_Single
246	TNFAIP3	P29590_S36_1_1_NO_Single
247	TNFAIP3	P29590_T867_1_1_NO_Single
248	TNFAIP3	P29590_S505_1_1_NO_Single
249	TNFAIP3	P29590_S403_1_1_NO_Single
250	BRCA1	Q9HCK8_S2046_1_1_NO_Single
251	BRD4	P06748_S70_1_1_YES_Single
252	CDKN2A	Q13547_S393_1_1_YES_Single
253	XIAP	P05455_S366_1_1_NO_Single
254	CCL2	P08651_S323_1_1_YES_Single
255	CCNT1	P29590_S36_1_1_NO_Single
256	CCNT1	P29590_T867_1_1_NO_Single
257	CCNT1	P29590_S505_1_1_NO_Single
258	CCNT1	P29590_S403_1_1_NO_Single
259	TF	P08651_S323_1_1_YES_Single
260	CYP11A1	P08651_S323_1_1_YES_Single
261	MBP	P08651_S323_1_1_YES_Single
262	BRCA1	Q12888_S1113_1_0_YES_Single
263	BRCA1	Q12888_S294_1_1_NO_Single
264	BRCA1	Q12888_S380_1_1_NO_Single
265	BRCA1	Q12888_S265_1_1_YES_Single
266	BRCA1	Q12888_S552_1_1_YES_Single
267	AR	P35222_S191_1_1_YES_Single
268	TNNC2	P08651_S323_1_1_YES_Single
269	AMELX	P08651_S323_1_1_YES_Single
270	SOAT1	P42224_S727_1_1_YES_Single
271	SNAI2	O75376_S1472_1_1_NO_Single
272	SNAI2	O75376_S2120_1_1_NO_Single
273	ECT2	P39880_S1496_1_1_NO_Single
274	BCL6	P42224_S727_1_1_YES_Single
275	DNMT1	P06748_S70_1_1_YES_Single
276	ICAM1	P42224_S727_1_1_YES_Single
277	FZR1	P67809_S165_1_1_NO_Single
278	EGR1	P38159_S208_1_1_NO_Multiple
279	EGR1	P38159_S352_1_1_YES_Single
280	CAD	P51532_S1382_1_1_NO_Single
281	BIRC5	Q13547_S393_1_1_YES_Single
282	GBP1	P42224_S727_1_1_YES_Single
283	CYP27B1	P08651_S323_1_1_YES_Single
284	FAS	P67809_S165_1_1_NO_Single
285	WNT5A	P39880_S1496_1_1_NO_Single
286	MYC	P17535_S100_1_1_NO_Multiple
287	MDM2	P06748_S70_1_1_YES_Single
288	PML	P42224_S727_1_1_YES_Single
289	EP300	P29590_S36_1_1_NO_Single
290	EP300	P29590_T867_1_1_NO_Single
291	EP300	P29590_S505_1_1_NO_Single
292	EP300	P29590_S403_1_1_NO_Single
293	S100A10	P42224_S727_1_1_YES_Single
294	KIT	P38159_S208_1_1_NO_Multiple
295	KIT	P38159_S352_1_1_YES_Single
296	TNFSF13B	P42224_S727_1_1_YES_Single
297	GTF3C1	P08651_S323_1_1_YES_Single
298	DDB2	P08651_S323_1_1_YES_Single
299	FCGR3A	P42224_S727_1_1_YES_Single
300	PIM1	P42224_S727_1_1_YES_Single
301	TRIM26	P08651_S323_1_1_YES_Single
302	TIMP1	P42224_S727_1_1_YES_Single
303	FAS	P42224_S727_1_1_YES_Single
304	TLR2	P42224_S727_1_1_YES_Single
305	UBTF	P08651_S323_1_1_YES_Single
306	EGR1	Q13547_S393_1_1_YES_Single
307	CCND2	Q13547_S393_1_1_YES_Single
308	LHCGR	P08651_S323_1_1_YES_Single
309	PCK2	Q9Y618_S1487_1_1_NO_Single
310	PCK2	Q9Y618_S1982_1_1_NO_Single
311	PCK2	Q9Y618_S1259_1_1_NO_Single
312	PTGIS	Q9UGL1_S1456_1_1_NO_Single
313	PTGS2	P35222_S191_1_1_YES_Single
314	NQO1	P17535_S100_1_1_NO_Multiple
315	MET	P67809_S165_1_1_NO_Single
316	NDUFA1	P08651_S323_1_1_YES_Single
317	PDE9A	O75376_S1472_1_1_NO_Single
318	PDE9A	O75376_S2120_1_1_NO_Single
319	PTTG1IP	P42224_S727_1_1_YES_Single
320	BIRC5	P25054_S2449_1_1_NO_Single
321	TCF7	P35222_S191_1_1_YES_Single
322	DBI	O75376_S1472_1_1_NO_Single
323	DBI	O75376_S2120_1_1_NO_Single
324	E2F1	Q13547_S393_1_1_YES_Single
325	PCK2	P08651_S323_1_1_YES_Single
326	EGFR	Q13547_S393_1_1_YES_Single
327	HCK	P29590_S36_1_1_NO_Single
328	HCK	P29590_T867_1_1_NO_Single
329	HCK	P29590_S505_1_1_NO_Single
330	HCK	P29590_S403_1_1_NO_Single
331	COL18A1	P08651_S323_1_1_YES_Single
332	ABCG2	P51532_S1382_1_1_NO_Single
333	MET	P42224_S727_1_1_YES_Single
334	MEF2D	Q8WUI4_S155_1_1_NO_Single
335	ITGA5	P08651_S323_1_1_YES_Single
336	CD82	Q13547_S393_1_1_YES_Single
337	AR	Q15596_S736_1_1_NO_Single
338	CD44	Q13547_S393_1_1_YES_Single
339	E2F1	P67809_S165_1_1_NO_Single
340	EGFR	P67809_S165_1_1_NO_Single
341	TAF1B	P17480_S389_1_1_NO_Single
342	SNAPC1	P08651_S323_1_1_YES_Single
343	SFTPD	P17535_S100_1_1_NO_Multiple
344	PON1	P08651_S323_1_1_YES_Single
345	ARG1	P08651_S323_1_1_YES_Single
346	IRF1	P42224_S727_1_1_YES_Single
347	RBBP8	P67809_S165_1_1_NO_Single
348	AKT1	P25054_S2449_1_1_NO_Single
349	POLD1	P08651_S323_1_1_YES_Single
350	IGF1	O75376_S1472_1_1_NO_Single
351	IGF1	O75376_S2120_1_1_NO_Single
352	STMN1	P08651_S323_1_1_YES_Single
353	IL10	P42224_S727_1_1_YES_Single
354	EGFR	P42224_S727_1_1_YES_Single
355	APEX1	P05455_S366_1_1_NO_Single
356	GADD45A	P17535_S100_1_1_NO_Multiple
357	FOXP3	P42224_S727_1_1_YES_Single
358	CDKN1A	Q96AE4_S99_1_1_YES_Single
359	CLU	P17535_S100_1_1_NO_Multiple
360	MBP	O00712_S264_1_1_NO_Single
361	CDKN1A	Q9P0U4_S138_1_1_NO_Single
362	ACAT1	P42224_S727_1_1_YES_Single
363	PIR	P08651_S323_1_1_YES_Single
364	CDKN1A	O14497_S1754_1_0_YES_Single
365	CDKN1A	O14497_S1755_1_1_YES_Single
366	ANAPC4	P67809_S165_1_1_NO_Single
367	SGK1	P25054_S2449_1_1_NO_Single
368	EDN1	P42224_S727_1_1_YES_Single
369	TP53	P29590_S36_1_1_NO_Single
370	TP53	P29590_T867_1_1_NO_Single
371	TP53	P29590_S505_1_1_NO_Single
372	TP53	P29590_S403_1_1_NO_Single
373	DLG1	P25054_S2449_1_1_NO_Single
374	TJP1	Q13547_S393_1_1_YES_Single
375	PLAT	P08651_S323_1_1_YES_Single
376	SMAD3	O14497_S1754_1_0_YES_Single
377	SMAD3	O14497_S1755_1_1_YES_Single
378	PLAU	P42224_S727_1_1_YES_Single
379	PPARG	O75376_S1472_1_1_NO_Single
380	PPARG	O75376_S2120_1_1_NO_Single
381	RNMT	P42224_S727_1_1_YES_Single
382	BAX	P29590_S36_1_1_NO_Single
383	BAX	P29590_T867_1_1_NO_Single
384	BAX	P29590_S505_1_1_NO_Single
385	BAX	P29590_S403_1_1_NO_Single
386	MYD88	P42224_S727_1_1_YES_Single
387	TMED5	P42224_S727_1_1_YES_Single
388	IFIT3	P42224_S727_1_1_YES_Single
389	CCND1	Q13547_S393_1_1_YES_Single
390	CXCL10	P42224_S727_1_1_YES_Single
391	FGF2	P42224_S727_1_1_YES_Single
392	CCL2	P42224_S727_1_1_YES_Single
393	CIITA	P42224_S727_1_1_YES_Single
394	PRKCE	P42224_S727_1_1_YES_Single
395	JUN	P08651_S323_1_1_YES_Single
396	PSIP1	Q13547_S393_1_1_YES_Single
397	PROC	P08651_S323_1_1_YES_Single
398	NDRG1	O75376_S1472_1_1_NO_Single
399	NDRG1	O75376_S2120_1_1_NO_Single
400	CSNK2A1	P08651_S323_1_1_YES_Single
401	E2F4	Q13263_S473_1_1_YES_Single
402	JUN	Q6P4R8_S228_1_1_NO_Single
403	GUCY1B1	P08651_S323_1_1_YES_Single
404	DFFB	P51532_S1382_1_1_NO_Single
405	BCL2	Q92466_S26_1_1_NO_Single
